id,value
 ,
 .Optimisation,
 .Optimisation.GlobalSysSolution,
 .Optimisation.GlobalSysSolution.Field,
 .Optimisation.GlobalSysSolution.InversionType,
 .Optimisation.GlobalSysSolution.InversionType.Direct,
 .Optimisation.GlobalSysSolution.InversionType.Xxt,
 .Optimisation.GlobalSysSolution.InversionType.Iterative,
 .Optimisation.GlobalSysSolution.InversionType.PETSc,
 .Optimisation.Collections,
 .Optimisation.Collections.NoCollection,
 .Optimisation.Collections.AutoTuning,
 .Optimisation.Collections.StdMat,
 .Optimisation.Collections.IterPerExp,
 .Optimisation.Collections.Manual,
 .Optimisation.Collections.Manual.OperatorType,
 .Optimisation.Collections.Manual.OperatorType.ElementType,
 .Optimisation.Collections.Manual.OperatorType.Order,
 .Optimisation.Collections.Manual.OperatorType.Implementation,
