id,value
 ,
 .AdvancedParams,
 .AdvancedParams.CFL,
 .AdvancedParams.Dealiasing,
 .AdvancedParams.SpectralHPDealiasing,
 .AdvancedParams.SpectralVanishingViscosity,
 .AdvancedParams.SpectralVanishingViscosity.SVVDiffCoeff,
 .AdvancedParams.SpectralVanishingViscosity.SVVCutoffRatio,
 .AdvancedParams.WeightPartitions,
 .AdvancedParams.WeightPartitions.Uniform,
 .AdvancedParams.WeightPartitions.NonUniform-DoF,
 .AdvancedParams.WeightPartitions.NonUniform-Boundary,
 .AdvancedParams.WeightPartitions.NonUniform-Both,
